null|0.0|1.0|2.0|3.0|4.0|5.0|6.0|7.0|8.0|9.0|10.0|11.0|12.0|13.0|14.0|15.0|16.0|17.0|18.0|19.0|20.0|21.0|22.0|23.0|24.0|25.0|26.0|27.0|28.0|29.0|30.0|31.0|32.0|33.0|34.0|35.0|36.0|37.0|38.0|39.0|40.0|41.0|42.0|43.0|44.0|45.0|
null|identificador|entero|real|cadena|tipo|opSuma|opMul|opRelac|opOr|opAnd|opNot|opIgualdad|;|,|(|)|{|}|=|if|while|return|else|$|programa|Definiciones|Definicion|DefVar|ListaVar|DefFunc|Parametros|ListaParam|BloqFunc|DefLocales|DefLocal|Sentencias|Sentencia|Otro|Bloque|ValorRegresa|Argumentos|ListaArgumentos|Termino|LlamadaFunc|SentenciaBloque|Expresion|
0.0|null|null|null|null|d5|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|r2|1.0|2.0|3.0|4.0|null|6.0|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|
1.0|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|r0|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|
2.0|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|r1|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|
3.0|null|null|null|null|d5|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|r2|null|7.0|3.0|4.0|null|6.0|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|
4.0|null|null|null|null|r4|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|r4|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|
5.0|d8|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|
6.0|null|null|null|null|r5|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|r5|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|
7.0|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|r3|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|
8.0|null|null|null|null|null|null|null|null|null|null|null|null|r7|d10|d11|null|null|null|null|null|null|null|null|null|null|null|null|null|9.0|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|
9.0|null|null|null|null|null|null|null|null|null|null|null|null|d12|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|
10.0|d13|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|
11.0|null|null|null|null|d15|null|null|null|null|null|null|null|null|null|null|r10|null|null|null|null|null|null|null|null|null|null|null|null|null|null|14.0|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|
12.0|r6|null|null|null|r6|null|null|null|null|null|null|null|null|null|null|null|null|r6|null|r6|r6|r6|null|r6|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|
13.0|null|null|null|null|null|null|null|null|null|null|null|null|r7|d10|null|null|null|null|null|null|null|null|null|null|null|null|null|null|16.0|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|
14.0|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|d17|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|
15.0|d18|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|
16.0|null|null|null|null|null|null|null|null|null|null|null|null|r8|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|
17.0|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|d20|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|19.0|null|null|null|null|null|null|null|null|null|null|null|null|null|
18.0|null|null|null|null|null|null|null|null|null|null|null|null|null|d22|null|r12|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|21.0|null|null|null|null|null|null|null|null|null|null|null|null|null|null|
